phylum,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
sk__Bacteria;p__Actinobacteria,2766.0,894.0,1770.0,3271.0,1800.0,727.0,2329.0,4675.0,6448.0,1816.0
